CMDLINE d:\programdata\miniconda3\python.exe julia1_memoryprofiler.py
MEM 1.214844 1621909596.6015
MEM 8.972656 1621909596.7107
MEM 14.519531 1621909596.8199
MEM 18.937500 1621909596.9335
MEM 23.035156 1621909597.0427
MEM 27.085938 1621909597.1519
MEM 30.316406 1621909597.2611
MEM 35.457031 1621909597.3703
MEM 38.968750 1621909597.4809
MEM 46.058594 1621909597.5901
MEM 57.437500 1621909597.7003
MEM 69.605469 1621909597.8095
MEM 81.628906 1621909597.9187
MEM 92.179688 1621909598.0303
MEM 103.535156 1621909598.1395
MEM 115.312500 1621909598.2487
MEM 126.328125 1621909598.3579
MEM 126.328125 1621909598.4671
MEM 126.339844 1621909598.5787
MEM 126.363281 1621909598.6889
MEM 126.386719 1621909598.7981
MEM 126.410156 1621909598.9073
MEM 126.429688 1621909599.0079
MEM 126.457031 1621909599.1125
MEM 126.480469 1621909599.2217
MEM 126.507812 1621909599.3309
MEM 126.531250 1621909599.4401
MEM 126.554688 1621909599.5407
MEM 126.578125 1621909599.6453
MEM 126.601562 1621909599.7545
MEM 126.628906 1621909599.8637
MEM 126.656250 1621909599.9729
MEM 126.687500 1621909600.0845
MEM 126.714844 1621909600.1937
MEM 126.746094 1621909600.3029
MEM 126.773438 1621909600.4121
MEM 126.800781 1621909600.5213
MEM 126.832031 1621909600.6329
MEM 126.859375 1621909600.7421
MEM 126.886719 1621909600.8513
MEM 126.917969 1621909600.9605
MEM 126.945312 1621909601.0697
MEM 126.968750 1621909601.1823
MEM 126.996094 1621909601.2915
MEM 127.023438 1621909601.4007
MEM 127.050781 1621909601.5099
MEM 127.078125 1621909601.6191
MEM 127.105469 1621909601.7307
MEM 127.132812 1621909601.8399
MEM 127.160156 1621909601.9491
MEM 127.187500 1621909602.0583
MEM 127.214844 1621909602.1675
MEM 127.242188 1621909602.2787
MEM 127.269531 1621909602.3879
MEM 127.296875 1621909602.4971
MEM 127.324219 1621909602.6063
MEM 127.347656 1621909602.7069
MEM 127.375000 1621909602.8125
MEM 127.402344 1621909602.9217
MEM 127.429688 1621909603.0309
MEM 127.457031 1621909603.1401
MEM 127.484375 1621909603.2407
MEM 127.511719 1621909603.3453
MEM 127.542969 1621909603.4545
MEM 127.574219 1621909603.5637
MEM 127.601562 1621909603.6729
MEM 127.632812 1621909603.7735
MEM 127.664062 1621909603.8791
MEM 127.695312 1621909603.9883
MEM 127.726562 1621909604.0975
MEM 127.757812 1621909604.2067
MEM 127.785156 1621909604.3073
MEM 127.816406 1621909604.4119
MEM 127.847656 1621909604.5211
MEM 127.875000 1621909604.6303
MEM 127.906250 1621909604.7395
MEM 127.937500 1621909604.8401
MEM 127.968750 1621909604.9457
MEM 127.996094 1621909605.0549
MEM 128.027344 1621909605.1641
MEM 128.058594 1621909605.2733
MEM 128.089844 1621909605.3839
MEM 128.125000 1621909605.4931
MEM 128.156250 1621909605.6023
MEM 128.187500 1621909605.7115
MEM 128.218750 1621909605.8207
MEM 128.250000 1621909605.9333
MEM 128.277344 1621909606.0425
MEM 128.308594 1621909606.1517
MEM 128.339844 1621909606.2609
MEM 128.371094 1621909606.3701
MEM 128.402344 1621909606.4817
MEM 128.433594 1621909606.5909
MEM 128.460938 1621909606.7001
MEM 128.492188 1621909606.8093
MEM 128.519531 1621909606.9185
MEM 128.550781 1621909607.0311
MEM 128.582031 1621909607.1403
MEM 128.613281 1621909607.2495
MEM 128.640625 1621909607.3587
MEM 128.671875 1621909607.4679
MEM 128.703125 1621909607.5795
FUNC __main__.calculate_z_serial_purepython 118.6758 1621909598.2799 129.4414 1621909610.7150 1
FUNC __main__.calc_pure_python 41.2266 1621909597.5433 41.8633 1621909610.7774 0
MEM 128.734375 1621909607.6887
MEM 128.753906 1621909607.7979
MEM 128.781250 1621909607.9071
MEM 128.808594 1621909608.0077
MEM 128.835938 1621909608.1123
MEM 128.859375 1621909608.2215
MEM 128.886719 1621909608.3307
MEM 128.914062 1621909608.4399
MEM 128.941406 1621909608.5405
MEM 128.964844 1621909608.6451
MEM 128.992188 1621909608.7543
MEM 129.019531 1621909608.8635
MEM 129.046875 1621909608.9727
MEM 129.070312 1621909609.0730
MEM 129.097656 1621909609.1820
MEM 129.125000 1621909609.2912
MEM 129.152344 1621909609.4004
MEM 129.179688 1621909609.5096
MEM 129.203125 1621909609.6102
MEM 129.226562 1621909609.7118
MEM 129.257812 1621909609.8210
MEM 129.285156 1621909609.9302
MEM 129.316406 1621909610.0394
MEM 129.343750 1621909610.1400
MEM 129.367188 1621909610.2456
MEM 129.394531 1621909610.3548
MEM 129.421875 1621909610.4640
MEM 129.437500 1621909610.5732
MEM 129.437500 1621909610.6838
MEM 41.867188 1621909610.7930
