CMDLINE d:\miniconda\envs\gpu\python.exe julia1_memoryprofiler.py
MEM 1.613281 1625064101.5123
MEM 14.589844 1625064101.6175
MEM 23.800781 1625064101.7286
MEM 30.312500 1625064101.8381
MEM 35.359375 1625064101.9501
MEM 40.570312 1625064102.0619
MEM 53.214844 1625064102.1739
MEM 71.539062 1625064102.2859
MEM 87.972656 1625064102.3977
MEM 105.609375 1625064102.5097
MEM 128.093750 1625064102.6204
MEM 128.093750 1625064102.7300
MEM 128.132812 1625064102.8405
MEM 128.210938 1625064102.9505
MEM 128.210938 1625064103.0585
MEM 128.273438 1625064103.1695
MEM 128.335938 1625064103.2815
MEM 128.343750 1625064103.3927
MEM 128.386719 1625064103.5047
MEM 128.460938 1625064103.6162
MEM 128.523438 1625064103.7284
MEM 128.585938 1625064103.8399
MEM 128.585938 1625064103.9484
MEM 128.628906 1625064104.0574
MEM 128.710938 1625064104.1674
MEM 128.773438 1625064104.2794
MEM 128.773438 1625064104.3910
MEM 128.835938 1625064104.5027
MEM 128.867188 1625064104.6147
MEM 128.960938 1625064104.7263
MEM 128.960938 1625064104.8379
MEM 129.023438 1625064104.9459
MEM 129.085938 1625064105.0561
MEM 129.093750 1625064105.1671
MEM 129.140625 1625064105.2761
MEM 129.210938 1625064105.3867
MEM 129.273438 1625064105.4938
MEM 129.335938 1625064105.6037
MEM 129.335938 1625064105.7117
MEM 129.378906 1625064105.8213
MEM 129.460938 1625064105.9333
MEM 129.523438 1625064106.0414
MEM 129.523438 1625064106.1514
MEM 129.585938 1625064106.2634
MEM 129.625000 1625064106.3742
MEM 129.710938 1625064106.4862
MEM 129.773438 1625064106.5982
MEM 129.773438 1625064106.7103
MEM 129.835938 1625064106.8219
MEM 129.867188 1625064106.9339
MEM 129.960938 1625064107.0449
FUNC __main__.calculate_z_serial_purepython 120.4570 1625064102.6024 131.2109 1625064110.4318 1
FUNC __main__.calc_pure_python 43.1133 1625064102.1129 43.6328 1625064110.4808 0
MEM 129.960938 1625064107.1521
MEM 130.023438 1625064107.2621
MEM 130.085938 1625064107.3698
MEM 130.101562 1625064107.4809
MEM 130.210938 1625064107.5889
MEM 130.210938 1625064107.7008
MEM 130.273438 1625064107.8124
MEM 130.335938 1625064107.9245
MEM 130.335938 1625064108.0345
MEM 130.378906 1625064108.1425
MEM 130.460938 1625064108.2544
MEM 130.523438 1625064108.3621
MEM 130.523438 1625064108.4731
MEM 130.585938 1625064108.5801
MEM 130.605469 1625064108.6901
MEM 130.710938 1625064108.8017
MEM 130.710938 1625064108.9127
MEM 130.773438 1625064109.0237
MEM 130.773438 1625064109.1317
MEM 130.835938 1625064109.2437
MEM 130.859375 1625064109.3558
MEM 130.960938 1625064109.4674
MEM 130.960938 1625064109.5795
MEM 131.023438 1625064109.6875
MEM 131.085938 1625064109.7991
MEM 131.085938 1625064109.9100
MEM 131.113281 1625064110.0181
MEM 131.210938 1625064110.1260
MEM 131.210938 1625064110.2370
MEM 131.210938 1625064110.3492
MEM 116.539062 1625064110.4588
